1548093238	0	1548093248
1548093248	5	1548093258
1548093258	10	1548093268
1548093268	15	1548093278
1548093278	20	1548093288
1548093288	25	1548093298
1548093298	30	1548093308
1548093308	35	1548093318
1548093318	40	1548093328
1548093328	45	1548093338
1548093338	50	1548093348
1548093348	55	1548093358
1548093358	60	1548093368
1548093368	65	1548093378
1548093378	70	1548093388
1548093388	75	1548093398
1548093398	80	1548093408
1548093408	85	1548093418
1548093418	90	1548093428
1548093428	95	1548093438
1548093438	100	1548093448
1548093448	105	1548093458
1548093458	110	1548093468
1548093468	115	1548093478
1548093478	120	1548093488
1548093488	125	1548093498
1548093498	130	1548093508
1548093508	135	1548093518
1548093518	140	1548093528
1548093528	145	1548093538
1548093538	150	1548093548
1548093548	155	1548093558
1548093558	160	1548093568
1548093568	165	1548093578
1548093578	170	1548093588
1548093588	175	1548093598
1548093598	180	1548093608
1548093608	185	1548093618
1548093618	190	1548093628
1548093628	195	1548093638
1548093638	200	1548093648
1548093648	205	1548093659
1548093659	210	1548093669
1548093669	215	1548093679
1548093679	220	1548093689
1548093689	225	1548093699
1548093699	230	1548093709
1548093709	235	1548093719
1548093719	240	1548093729
1548093729	245	1548093739
1548093739	250	1548093749
1548093749	255	1548093759
1548093759	260	1548093769
1548093769	265	1548093779
1548093779	270	1548093789
1548093789	275	1548093799
1548093799	280	1548093809
1548093809	285	1548093819
1548093819	290	1548093829
1548093829	295	1548093839
1548093839	300	1548093849
1548093849	305	1548093859
1548093859	310	1548093869
1548093869	315	1548093879
1548093879	320	1548093889
1548093889	325	1548093899
1548093899	330	1548093909
1548093909	335	1548093919
1548093919	340	1548093929
1548093929	345	1548093939
1548093939	350	1548093949
1548093949	355	1548093959
1548093959	360	1548093969
1548093969	365	1548093979
1548093979	370	1548093989
1548093989	375	1548093999
1548093999	380	1548094009
1548094009	385	1548094019
1548094019	390	1548094029
1548094029	395	1548094039
1548094039	400	1548094049
1548094049	405	1548094059
1548094059	410	1548094069
1548094069	415	1548094079
1548094079	420	1548094089
1548094089	425	1548094099
1548094099	430	1548094109
1548094109	435	1548094119
1548094119	440	1548094129
1548094129	445	1548094139
1548094139	450	1548094149
1548094149	455	1548094159
1548094159	460	1548094169
1548094169	465	1548094179
1548094179	470	1548094189
1548094189	475	1548094199
1548094199	480	1548094209
1548094209	485	1548094219
1548094219	490	1548094229
1548094229	495	1548094239
1548094239	500	1548094552
1548094552	499	1548094553
1548094553	498	1548094557
1548094557	497	1548094561
1548094561	496	1548094563
1548094563	495	1548094564
1548094564	494	1548094567
1548094567	492	1548094568
1548094568	490	1548094570
1548094570	489	1548094573
1548094573	488	1548094575
1548094575	487	1548094576
1548094576	484	1548094578
1548094578	482	1548094581
1548094581	478	1548094584
1548094584	477	1548094586
1548094586	475	1548094587
1548094587	473	1548094591
1548094591	471	1548094592
1548094592	470	1548094594
1548094594	469	1548094595
1548094595	468	1548094597
1548094597	466	1548094601
1548094601	464	1548094602
1548094602	463	1548094606
1548094606	460	1548094607
1548094607	458	1548094608
1548094608	457	1548094609
1548094609	455	1548094610
1548094610	454	1548094612
1548094612	453	1548094613
1548094613	452	1548094616
1548094616	451	1548094617
1548094617	448	1548094618
1548094618	447	1548094619
1548094619	445	1548094620
1548094620	442	1548094621
1548094621	439	1548094622
1548094622	437	1548094623
1548094623	436	1548094624
1548094624	432	1548094626
1548094626	431	1548094628
1548094628	430	1548094629
1548094629	429	1548094631
1548094631	428	1548094632
1548094632	426	1548094633
1548094633	423	1548094634
1548094634	422	1548094635
1548094635	421	1548094637
1548094637	417	1548094638
1548094638	414	1548094639
1548094639	412	1548094640
